ticket_id,reporter_id,datum,kategorie,priorita,status,popis
23,418,2024-07-30 11:16:00,HW,P4,open,Nefunguje mi monitor. Můžete se na to podívat?
24,664,2024-04-13 08:55:00,Účet a přístup,P4,pending,Nemám přístup ke sdílenému disku týmu.
25,853,2025-02-14 13:55:00,HW,P3,closed,Nefunguje mi klávesnice. Můžete se na to podívat?
26,161,2024-12-27 17:32:00,Účet a přístup,P3,closed,Můj VPN profil nefunguje od pondělí.
27,99,2024-08-15 11:34:00,HW,P2,pending,dock přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
28,99,2024-07-31 14:59:00,Ostatní,P3,open,Nefunguje kávovar v 3. patře.
29,659,2024-04-28 09:34:00,Software,P3,closed,Nejde mi nainstalovat Jira. Vyhazuje to chybu.
30,912,2025-03-19 09:01:00,Software,P3,open,Mohli byste mi prosím přidat licenci na VS Code?
31,106,2025-04-01 09:16:00,HW,P3,closed,Nefunguje mi myš. Můžete se na to podívat?
32,182,2024-09-03 11:41:00,HW,P3,pending,Prosím o výměnu monitor — je už za zenitem.
33,120,2024-04-30 10:26:00,HW,P4,closed,Prosím o výměnu klávesnice — je už za zenitem.
34,664,2024-10-23 14:45:00,HW,P2,pending,Nefunguje mi monitor. Můžete se na to podívat?
35,55,2024-12-23 17:52:00,Účet a přístup,P4,closed,Zapomněl/a jsem heslo do Jira.
36,5,2024-09-26 10:17:00,Ostatní,P2,closed,Nefunguje kávovar v 3. patře.
37,540,2025-03-28 17:47:00,Ostatní,P3,closed,Klimatizace v open-spacu zase netáhne.
38,229,2024-10-31 17:17:00,HW,P3,closed,myš přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
39,399,2024-09-15 08:00:00,Software,P3,open,Mohli byste mi prosím přidat licenci na Slack?
40,692,2025-04-02 09:40:00,HW,P3,pending,monitor přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
41,769,2025-01-30 14:45:00,Ostatní,P1,closed,Někdo mi v ledničce snědl oběd. Co s tím?
42,562,2024-07-09 11:06:00,Software,P2,closed,Mohli byste mi prosím přidat licenci na Jira?
43,476,2024-02-08 13:33:00,HW,P3,open,notebook přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
44,968,2025-01-18 15:18:00,HW,P3,open,Nefunguje mi klávesnice. Můžete se na to podívat?
45,639,2025-04-21 15:09:00,HW,P3,closed,Prosím o výměnu monitor — je už za zenitem.
46,997,2025-02-17 16:59:00,Software,P3,pending,Mohli byste mi prosím přidat licenci na Excel?
47,603,2024-09-10 10:02:00,Software,P4,pending,Nejde mi nainstalovat Slack. Vyhazuje to chybu.
48,436,2024-09-03 13:44:00,Software,P3,pending,Mohli byste mi prosím přidat licenci na Excel?
49,343,2025-02-14 10:51:00,HW,P3,open,Nefunguje mi dock. Můžete se na to podívat?
50,836,2024-01-04 11:40:00,Účet a přístup,P2,pending,Nemám přístup ke sdílenému disku týmu.
51,429,2025-04-10 11:17:00,Software,P2,pending,Nejde mi nainstalovat Figma. Vyhazuje to chybu.
52,905,2024-10-01 16:33:00,Software,P4,closed,Nejde mi nainstalovat VS Code. Vyhazuje to chybu.
53,323,2024-02-06 13:00:00,Účet a přístup,P4,pending,Nemám přístup ke sdílenému disku týmu.
54,757,2024-05-25 09:23:00,HW,P2,pending,myš přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
55,617,2024-03-03 16:18:00,Software,P4,pending,Mohli byste mi prosím přidat licenci na VS Code?
56,326,2024-04-09 17:35:00,Software,P3,pending,Mohli byste mi prosím přidat licenci na Figma?
57,413,2024-08-06 16:10:00,Software,P4,closed,Nejde mi nainstalovat Jira. Vyhazuje to chybu.
58,695,2024-12-28 10:28:00,Software,P4,pending,Mohli byste mi prosím přidat licenci na Slack?
59,560,2024-01-10 13:24:00,HW,P2,open,Nefunguje mi notebook. Můžete se na to podívat?
60,203,2024-07-09 10:48:00,Ostatní,P3,closed,Klimatizace v open-spacu zase netáhne.
61,796,2024-03-19 13:22:00,Software,P3,open,Nejde mi nainstalovat VS Code. Vyhazuje to chybu.
62,671,2025-01-23 13:07:00,Software,P3,closed,Mohli byste mi prosím přidat licenci na Figma?
63,865,2024-12-20 09:13:00,Software,P4,closed,Mohli byste mi prosím přidat licenci na Slack?
64,9959,2024-04-08 14:52:00,Software,P3,open,Po updatu Excel se mi rozbilo sdílení obrazovky.
65,250,2025-03-20 12:27:00,Software,P4,closed,Po updatu Excel se mi rozbilo notifikace.
66,310,2024-11-06 10:30:00,Účet a přístup,P3,closed,Zapomněl/a jsem heslo do Slack.
67,834,2025-02-06 15:14:00,HW,P3,closed,klávesnice přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
68,763,2025-04-15 15:50:00,Účet a přístup,P3,pending,Nemám přístup ke sdílenému disku týmu.
69,429,2025-04-14 14:42:00,Software,P2,closed,Nejde mi nainstalovat Excel. Vyhazuje to chybu.
70,343,2025-05-14 09:25:00,Software,P4,pending,Nejde mi nainstalovat VS Code. Vyhazuje to chybu.
71,53,2024-05-13 15:24:00,HW,P2,closed,Prosím o výměnu klávesnice — je už za zenitem.
72,47,2025-01-09 14:16:00,Software,P3,pending,Nejde mi nainstalovat Excel. Vyhazuje to chybu.
73,692,2024-03-07 13:22:00,HW,P2,pending,Prosím o výměnu klávesnice — je už za zenitem.
74,934,2025-02-23 08:53:00,Účet a přístup,P3,closed,Nemám přístup ke sdílenému disku týmu.
75,1011,2024-07-04 15:58:00,Software,P4,closed,Po updatu Excel se mi rozbilo notifikace.
76,692,2025-05-06 11:27:00,HW,P4,closed,Prosím o výměnu monitor — je už za zenitem.
77,932,2024-02-24 12:51:00,Software,P1,closed,Mohli byste mi prosím přidat licenci na Excel?
78,429,2025-03-14 10:08:00,HW,P2,closed,Prosím o výměnu myš — je už za zenitem.
79,880,2025-03-05 15:42:00,HW,P4,closed,Prosím o výměnu notebook — je už za zenitem.
80,840,2024-04-12 08:13:00,HW,P2,closed,Nefunguje mi myš. Můžete se na to podívat?
81,613,2024-12-18 17:21:00,Software,P2,pending,Mohli byste mi prosím přidat licenci na Excel?
82,10,2024-05-28 10:32:00,Software,P2,closed,Nejde mi nainstalovat Jira. Vyhazuje to chybu.
83,107,2025-01-29 08:26:00,HW,P2,closed,myš přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
84,429,2024-08-05 13:45:00,Software,P4,closed,Mohli byste mi prosím přidat licenci na Figma?
85,954,2024-09-17 13:48:00,Účet a přístup,P4,pending,Zapomněl/a jsem heslo do Confluence.
86,889,2024-11-07 09:46:00,Software,P2,open,Po updatu Figma se mi rozbilo VPN integrace.
87,206,2024-06-30 08:22:00,HW,P4,pending,Prosím o výměnu notebook — je už za zenitem.
88,610,2024-11-30 11:19:00,Účet a přístup,P3,pending,Můj VPN profil nefunguje od pondělí.
89,429,2024-03-22 15:32:00,Software,P1,closed,Nejde mi nainstalovat Excel. Vyhazuje to chybu.
90,430,2024-02-10 14:24:00,Účet a přístup,P4,closed,Můj VPN profil nefunguje od pondělí.
91,9767,2024-11-12 15:51:00,HW,P3,closed,Prosím o výměnu myš — je už za zenitem.
92,178,2024-02-10 17:13:00,Ostatní,P3,closed,Někdo mi v ledničce snědl oběd. Co s tím?
93,533,2024-08-02 12:47:00,Účet a přístup,P4,closed,Zapomněl/a jsem heslo do Slack.
94,60,2024-11-30 13:41:00,Účet a přístup,P3,pending,Nemám přístup ke sdílenému disku týmu.
95,696,2024-07-20 16:54:00,HW,P3,pending,Prosím o výměnu headset — je už za zenitem.
96,839,2024-05-01 13:50:00,HW,P3,closed,Prosím o výměnu headset — je už za zenitem.
97,270,2024-10-01 17:37:00,Software,P4,closed,Nejde mi nainstalovat Figma. Vyhazuje to chybu.
98,733,2024-10-05 14:05:00,Ostatní,P2,pending,Klimatizace v open-spacu zase netáhne.
99,917,2024-06-30 11:14:00,Software,P4,closed,Mohli byste mi prosím přidat licenci na Figma?
100,563,2024-04-24 10:12:00,Účet a přístup,P3,pending,Nemám přístup ke sdílenému disku týmu.
101,27,2025-01-21 16:31:00,Účet a přístup,P3,pending,Nemám přístup ke sdílenému disku týmu.
102,859,2024-07-19 13:27:00,Software,P3,open,Mohli byste mi prosím přidat licenci na Figma?
103,9,2024-10-02 12:30:00,Ostatní,P3,closed,Klimatizace v open-spacu zase netáhne.
104,375,2025-04-13 16:36:00,Ostatní,P2,open,Klimatizace v open-spacu zase netáhne.
105,286,2024-03-05 15:02:00,Účet a přístup,P3,pending,Zapomněl/a jsem heslo do Confluence.
106,478,2024-08-27 17:42:00,Ostatní,P3,closed,Klimatizace v open-spacu zase netáhne.
107,751,2024-11-17 09:53:00,Software,P3,closed,Nejde mi nainstalovat Excel. Vyhazuje to chybu.
108,360,2024-06-26 11:51:00,Účet a přístup,P4,pending,Nemám přístup ke sdílenému disku týmu.
109,9645,2024-08-12 12:44:00,Účet a přístup,P3,closed,Nemám přístup ke sdílenému disku týmu.
110,942,2025-04-28 14:07:00,HW,P3,closed,Prosím o výměnu myš — je už za zenitem.
111,693,2025-01-07 11:00:00,HW,P4,closed,myš přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
112,108,2024-04-11 13:31:00,HW,P3,closed,myš přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
113,296,2025-02-14 17:27:00,HW,P3,closed,dock přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
114,595,2025-03-03 15:53:00,HW,P3,closed,monitor přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
115,873,2024-12-01 15:13:00,HW,P2,closed,Prosím o výměnu monitor — je už za zenitem.
116,56,2024-12-25 08:28:00,HW,P3,closed,Nefunguje mi notebook. Můžete se na to podívat?
117,309,2025-01-29 14:55:00,Software,P3,open,Po updatu Excel se mi rozbilo VPN integrace.
118,830,2025-03-30 09:14:00,HW,P4,closed,Nefunguje mi dock. Můžete se na to podívat?
119,134,2024-08-26 09:27:00,HW,P3,pending,headset přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
120,3,2024-04-09 17:25:00,Účet a přístup,P1,closed,Můj VPN profil nefunguje od pondělí.
121,10,2024-06-08 17:13:00,HW,P4,pending,Nefunguje mi dock. Můžete se na to podívat?
122,560,2025-02-05 17:47:00,Software,P3,closed,Nejde mi nainstalovat VS Code. Vyhazuje to chybu.
123,759,2024-04-25 14:07:00,Ostatní,P2,pending,Klimatizace v open-spacu zase netáhne.
124,549,2024-10-28 16:52:00,Účet a přístup,P2,pending,Zapomněl/a jsem heslo do Jira.
125,972,2024-08-09 12:40:00,Účet a přístup,P4,open,Nemám přístup ke sdílenému disku týmu.
126,966,2024-05-02 15:05:00,Účet a přístup,P3,pending,Nemám přístup ke sdílenému disku týmu.
127,677,2025-02-18 13:31:00,HW,P4,closed,headset přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
128,906,2025-01-16 11:35:00,Účet a přístup,P3,closed,Můj VPN profil nefunguje od pondělí.
129,662,2024-06-17 09:35:00,HW,P3,closed,Nefunguje mi dock. Můžete se na to podívat?
130,907,2024-05-18 15:56:00,Účet a přístup,P4,closed,Nemám přístup ke sdílenému disku týmu.
131,155,2024-05-29 15:25:00,HW,P3,closed,Nefunguje mi dock. Můžete se na to podívat?
132,514,2024-02-09 14:04:00,Účet a přístup,P3,closed,Zapomněl/a jsem heslo do Confluence.
133,772,2025-02-12 10:03:00,HW,P2,closed,Nefunguje mi klávesnice. Můžete se na to podívat?
134,191,2024-11-28 13:21:00,Software,P3,pending,Po updatu Figma se mi rozbilo SSO login.
135,989,2024-10-26 11:13:00,Účet a přístup,P4,open,Nemám přístup ke sdílenému disku týmu.
136,311,2024-08-26 12:17:00,Účet a přístup,P3,closed,Můj VPN profil nefunguje od pondělí.
137,171,2024-05-18 15:25:00,Software,P3,pending,Po updatu VS Code se mi rozbilo SSO login.
138,672,2025-01-08 16:34:00,Účet a přístup,P2,closed,Můj VPN profil nefunguje od pondělí.
139,1009,2024-11-25 09:11:00,Účet a přístup,P3,closed,Můj VPN profil nefunguje od pondělí.
140,68,2024-12-08 13:18:00,HW,P2,closed,Nefunguje mi klávesnice. Můžete se na to podívat?
141,422,2024-02-10 14:38:00,HW,P4,closed,Nefunguje mi headset. Můžete se na to podívat?
142,141,2025-01-07 13:23:00,hardware-other,P4,closed,klávesnice přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
143,269,2024-08-18 11:13:00,hardware-other,P3,pending,Prosím o výměnu monitor — je už za zenitem.
144,821,2025-02-04 12:53:00,hardware-other,P3,closed,Nefunguje mi dock. Můžete se na to podívat?
145,735,2024-08-19 12:36:00,hardware-other,P4,closed,Nefunguje mi myš. Můžete se na to podívat?
146,961,2025-04-18 08:24:00,hardware-other,P4,closed,klávesnice přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
147,127,2024-05-30 08:01:00,hardware-other,P3,closed,Prosím o výměnu notebook — je už za zenitem.
148,713,2024-11-24 08:02:00,Software,P4,pending,Po updatu Jira se mi rozbilo sdílení obrazovky.
149,22,2024-08-30 17:14:00,Software,P3,closed,Mohli byste mi prosím přidat licenci na Figma?
150,133,2025-03-27 17:20:00,Software,P3,closed,Mohli byste mi prosím přidat licenci na Slack?
151,121,2024-05-27 15:04:00,Software,P3,closed,Po updatu Figma se mi rozbilo sdílení obrazovky.
152,330,2024-02-11 15:53:00,Software,P3,closed,Po updatu Slack se mi rozbilo sdílení obrazovky.
153,843,2024-06-20 15:25:00,hardware-other,P2,pending,Nefunguje mi headset. Můžete se na to podívat?
154,429,2024-11-17 10:27:00,hardware-other,P3,closed,Prosím o výměnu myš — je už za zenitem.
155,968,2024-09-11 10:41:00,Účet a přístup,P3,closed,Nemám přístup ke sdílenému disku týmu.
156,546,2024-09-17 13:04:00,Software,P3,closed,Po updatu VS Code se mi rozbilo SSO login.
157,542,2024-01-09 09:06:00,Účet a přístup,P3,closed,Nemám přístup ke sdílenému disku týmu.
158,693,2024-09-22 15:08:00,hardware-other,P3,closed,Prosím o výměnu klávesnice — je už za zenitem.
159,473,2025-04-03 09:37:00,hardware-other,P4,open,Prosím o výměnu monitor — je už za zenitem.
160,868,2025-05-12 08:35:00,Účet a přístup,P2,closed,Můj VPN profil nefunguje od pondělí.
161,177,2025-02-23 16:34:00,Účet a přístup,P4,closed,Zapomněl/a jsem heslo do interní portál.
162,210,2024-04-25 10:42:00,Ostatní,P1,closed,Nefunguje kávovar v 3. patře.
163,694,2024-02-27 16:34:00,Software,P3,open,Nejde mi nainstalovat Jira. Vyhazuje to chybu.
164,365,2024-04-29 16:07:00,Ostatní,P2,closed,Klimatizace v open-spacu zase netáhne.
165,118,2024-12-29 11:09:00,Software,P2,pending,Nejde mi nainstalovat VS Code. Vyhazuje to chybu.
166,30,2024-06-19 14:28:00,Účet a přístup,P3,closed,Nemám přístup ke sdílenému disku týmu.
167,299,2024-06-21 09:39:00,hardware-other,P4,closed,Nefunguje mi dock. Můžete se na to podívat?
168,472,2024-04-25 11:36:00,Účet a přístup,P3,closed,Můj VPN profil nefunguje od pondělí.
169,624,2024-08-18 15:49:00,Software,P4,closed,Po updatu Figma se mi rozbilo sdílení obrazovky.
170,88,2024-05-19 14:12:00,hardware-other,P3,open,Prosím o výměnu dock — je už za zenitem.
171,488,2025-03-22 09:11:00,hardware-other,P2,closed,notebook přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
172, 358,2025-04-04 14:13:00,Software,P2,closed,Mohli byste mi prosím přidat licenci na Slack?
173,843,2025-04-04 13:31:00,Software,P3,closed,Mohli byste mi prosím přidat licenci na Figma?
174,74,2024-12-17 12:46:00,hardware-other,P3,closed,Nefunguje mi dock. Můžete se na to podívat?
175,676,2025-01-06 17:19:00,hardware-other,P4,closed,myš přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
176,946,2024-01-14 17:22:00,Software,P4,closed,Mohli byste mi prosím přidat licenci na Excel?
177,840,2024-11-03 16:46:00,Účet a přístup,P3,closed,Nemám přístup ke sdílenému disku týmu.
178,543,2024-05-30 11:59:00,Software,P3,closed,Mohli byste mi prosím přidat licenci na VS Code?
179,252,2024-12-09 15:23:00,hardware-other,P3,closed,myš přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
180,129,2024-05-21 10:24:00,hardware-other,P3,open,Prosím o výměnu notebook — je už za zenitem.
181,830,2024-12-03 11:47:00,hardware-other,P4,closed,Prosím o výměnu notebook — je už za zenitem.
182,235,2025-02-26 16:17:00,Účet a přístup,P2,pending,Můj VPN profil nefunguje od pondělí.
183,495,2025-03-31 17:12:00,Ostatní,P4,closed,Klimatizace v open-spacu zase netáhne.
184,388,2024-11-17 11:44:00,hardware-other,P3,closed,Prosím o výměnu monitor — je už za zenitem.
185,63,2024-10-23 11:41:00,Ostatní,P3,closed,Klimatizace v open-spacu zase netáhne.
186,662,2024-12-02 13:20:00,Software,P3,pending,Nejde mi nainstalovat Figma. Vyhazuje to chybu.
187,946,2024-04-26 10:27:00,hardware-other,P3,open,Nefunguje mi dock. Můžete se na to podívat?
188,532,2024-01-23 10:17:00,Software,P3,pending,Mohli byste mi prosím přidat licenci na Figma?
189,727,2025-01-04 11:18:00,hardware-other,P3,closed,Nefunguje mi dock. Můžete se na to podívat?
190,477,2025-03-29 09:00:00,hardware-other,P3,closed,Nefunguje mi notebook. Můžete se na to podívat?
191,887,2024-11-26 13:58:00,hardware-other,P2,open,Prosím o výměnu dock — je už za zenitem.
192,506,2025-01-04 15:55:00,Software,P4,closed,Nejde mi nainstalovat Figma. Vyhazuje to chybu.
193,439,2024-11-11 09:20:00,Ostatní,P1,closed,Někdo mi v ledničce snědl oběd. Co s tím?
194,680,2025-01-18 09:11:00,Software,P3,open,Nejde mi nainstalovat Figma. Vyhazuje to chybu.
195,851,2024-05-08 14:05:00,hardware-other,P3,closed,notebook přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
196,79,2024-06-13 16:01:00,Software,P1,closed,Po updatu Jira se mi rozbilo sdílení obrazovky.
197,180,2024-07-21 15:00:00,hardware-other,P3,closed,Nefunguje mi monitor. Můžete se na to podívat?
198,473,2025-05-01 13:49:00,hardware-other,P3,pending,Prosím o výměnu klávesnice — je už za zenitem.
199,265,2024-05-06 14:54:00,Účet a přístup,P3,closed,Můj VPN profil nefunguje od pondělí.
200,476,2024-03-14 11:07:00,hardware-other,P4,open,Prosím o výměnu notebook — je už za zenitem.
201,313,2024-08-15 08:16:00,hardware-other,P3,closed,Nefunguje mi myš. Můžete se na to podívat?
202,859,2024-01-14 15:26:00,Účet a přístup,P3,open,Můj VPN profil nefunguje od pondělí.
203,778,2024-05-20 08:05:00,Software,P2,pending,Po updatu Slack se mi rozbilo VPN integrace.
204,360,2024-11-21 17:29:00,hardware-other,P3,closed,Nefunguje mi monitor. Můžete se na to podívat?
205,519,2024-06-01 09:34:00,Software,P2,closed,Po updatu Excel se mi rozbilo VPN integrace.
206,48,2024-05-28 12:33:00,hardware-other,P3,closed,Nefunguje mi myš. Můžete se na to podívat?
207,74,2024-04-30 12:44:00,Účet a přístup,P3,closed,Můj VPN profil nefunguje od pondělí.
208,688,2025-04-02 13:52:00,Ostatní,P3,closed,Klimatizace v open-spacu zase netáhne.
209,220,2024-02-09 09:19:00,hardware-other,P2,closed,Prosím o výměnu notebook — je už za zenitem.
210,545,2024-07-22 10:58:00,Účet a přístup,P3,pending,Zapomněl/a jsem heslo do Jira.
211,302,2024-04-30 14:31:00,Software,P3,closed,Nejde mi nainstalovat Figma. Vyhazuje to chybu.
212,811,2024-05-03 10:11:00,hardware-other,P3,closed,Prosím o výměnu myš — je už za zenitem.
213,448,2025-01-13 10:27:00,Software,P3,closed,Mohli byste mi prosím přidat licenci na VS Code?
214,166,2025-04-10 08:57:00,hardware-other,P2,closed,headset přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
215,209,2025-05-02 17:13:00,hardware-other,P3,closed,headset přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
216,477,2024-02-04 15:54:00,hardware-other,P4,closed,Prosím o výměnu headset — je už za zenitem.
217,983,2024-10-13 11:25:00,hardware-other,P3,closed,Prosím o výměnu klávesnice — je už za zenitem.
218,291,2024-11-04 13:50:00,Účet a přístup,P2,closed,Můj VPN profil nefunguje od pondělí.
219,518,2025-05-06 08:48:00,Účet a přístup,P4,closed,Nemám přístup ke sdílenému disku týmu.
220,592,2025-03-24 09:04:00,Ostatní,P3,closed,Klimatizace v open-spacu zase netáhne.
221,479,2024-03-07 16:42:00,Účet a přístup,P3,closed,Můj VPN profil nefunguje od pondělí.
222,107,2024-08-26 16:26:00,Software,P4,closed,Mohli byste mi prosím přidat licenci na Excel?
223,565,2025-05-07 12:06:00,hardware-other,P3,closed,Prosím o výměnu klávesnice — je už za zenitem.
224,420,2024-07-01 14:30:00,Účet a přístup,P4,open,Můj VPN profil nefunguje od pondělí.
225,908,2024-04-03 08:47:00,Ostatní,P1,open,Nefunguje kávovar v 3. patře.
226,177,2025-01-11 12:58:00,hardware-other,P4,closed,Prosím o výměnu headset — je už za zenitem.
227,585,2024-04-07 09:32:00,hardware-other,P3,open,dock přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
228,426,2024-06-22 17:06:00,Ostatní,P4,closed,Nefunguje kávovar v 3. patře.
229,388,2024-04-05 14:13:00,Software,P3,closed,Nejde mi nainstalovat VS Code. Vyhazuje to chybu.
230,741,2024-07-05 10:07:00,hardware-other,P3,closed,Prosím o výměnu dock — je už za zenitem.
231,794,2024-07-16 09:43:00,Software,P2,closed,Mohli byste mi prosím přidat licenci na Excel?
232,39,2024-06-19 09:50:00,hardware-other,P2,closed,myš přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
233,1013,2024-12-15 17:45:00,Software,P3,closed,Mohli byste mi prosím přidat licenci na Excel?
234,507,2024-05-08 16:22:00,Účet a přístup,P3,closed,Zapomněl/a jsem heslo do Confluence.
235,645,2025-04-29 08:30:00,hardware-other,P2,open,Nefunguje mi notebook. Můžete se na to podívat?
236,801,2024-05-30 15:21:00,Software,P3,closed,Po updatu VS Code se mi rozbilo sdílení obrazovky.
237,148,2024-06-22 15:54:00,hardware-other,P3,open,Nefunguje mi myš. Můžete se na to podívat?
238,315,2024-01-26 14:41:00,hardware-other,P4,closed,Nefunguje mi monitor. Můžete se na to podívat?
239,154,2024-10-20 11:22:00,hardware-other,P2,closed,myš přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
240,57,2024-11-04 12:02:00,Software,P3,closed,Mohli byste mi prosím přidat licenci na Excel?
241,812,2024-03-27 17:54:00,Účet a přístup,P3,closed,Nemám přístup ke sdílenému disku týmu.
242,58,2025-03-16 13:01:00,Software,P4,closed,Po updatu VS Code se mi rozbilo notifikace.
243,944,2025-05-05 16:44:00,Software,P3,closed,Mohli byste mi prosím přidat licenci na Figma?
244,40,2024-11-21 15:25:00,Ostatní,P1,pending,Nefunguje kávovar v 3. patře.
245,84,2024-02-02 14:49:00,hardware-other,P3,closed,Nefunguje mi klávesnice. Můžete se na to podívat?
246,608,2024-11-09 10:22:00,hardware-other,P3,open,notebook přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
247,443,2024-06-05 14:24:00,hardware-other,P2,pending,Prosím o výměnu klávesnice — je už za zenitem.
248,960,2024-10-21 14:03:00,hardware-other,P3,closed,Prosím o výměnu headset — je už za zenitem.
249,569,2024-05-02 12:49:00,Software,P3,pending,Po updatu Figma se mi rozbilo notifikace.
250,971,2025-01-03 10:25:00,Software,P3,closed,Po updatu Figma se mi rozbilo notifikace.
251,617,2025-05-08 08:41:00,Software,P2,closed,Mohli byste mi prosím přidat licenci na VS Code?
252,233,2024-12-28 10:06:00,hw / sw,P4,pending,klávesnice přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
253,1004,2025-04-22 14:12:00,Software,P3,closed,Mohli byste mi prosím přidat licenci na Slack?
254,780,2025-01-04 10:58:00,Účet a přístup,P1,closed,Nemám přístup ke sdílenému disku týmu.
255,119,2025-02-17 12:05:00,hw / sw,P3,open,Nefunguje mi notebook. Můžete se na to podívat?
256,629,2025-05-06 15:40:00,Software,P2,closed,Nejde mi nainstalovat Slack. Vyhazuje to chybu.
257,9007,2024-05-24 12:18:00,hw / sw,P3,closed,dock přestal/a fungovat dnes ráno. Potřebuji to vyřešit co nejdřív.
258,764,2025-01-23 09:21:00,hw / sw,P4,closed,Prosím o výměnu headset — je už za zenitem.
259,540,2025-02-10 13:41:00,Účet a přístup,P3,closed,Můj VPN profil nefunguje od pondělí.
260,532,2024-10-13 14:19:00,Software,P3,pending,Mohli byste mi prosím přidat licenci na Slack?
261,566,2024-11-28 16:49:00,Software,P3,closed,Nejde mi nainstalovat Excel. Vyhazuje to chybu.
262,710,2024-04-05 17:25:00,Software,P2,closed,Po updatu Figma se mi rozbilo SSO login.
263,632,2024-03-24 15:23:00,Účet a přístup,P4,closed,Můj VPN profil nefunguje od pondělí.
264,77,2024-02-26 16:44:00,hw / sw,P3,closed,Nefunguje mi myš. Můžete se na to podívat?
265,462,2024-08-19 15:15:00,Účet a přístup,P4,pending,Nemám přístup ke sdílenému disku týmu.
